"ERI","CODE","CNAME","ENAME","EDNAME","APCODE","LASTUPD"
"00R0010ITLDIE385","枝","枝","","","","150728165154"
"00R0030GGW0023GL","00","台","PC","PCS","","110303123502"
"00R0030GGW0023GM","01","支","PC","PCS","","110303123502"
"00R0030GGW0023GN","CTN","CTN","CTN","CTNS","","110303123502"
"00R0030GGW0023GO","本","本","","","","110303123502"
"00R0030GGW0023GP","台","台","","","","110303123502"
"00R0030GGW0023GQ","套","套","","","","110303123502"
"00R0030GGW0023GR","只","只","","","","110303123502"
"00R0030GGW0023GS","支","支","","","","110303123502"
"00R0030GGW0023GT","張","張","","","","110303123502"
"00R0030GGW0023GU","個","個","","","","110303123502"
"00R0030GGW0023GV","片","片","","","","110303123502"
"00R0030GGW0023GW","卷","卷","","","","110303123502"
"00R0030GGW0023GX","條","條","","","","110303123502"
"00R0030GGW0023GY","瓶","瓶","","","","110303123502"
"00R0030GGW0023GZ","盒","盒","","","","110303123502"
"00R0030GGW0023H0","頂","頂","","","","241125165753"
"00R0030GGW0023H1","件","件","","","","110303123502"
"00R0030GGW0023H2","批","批","","","","110303123502"
"00R0030GGW0023H3","包","包","","","","110303123502"
"00R0030GGW0023H4","封","封","","","","110303123502"
"00R0030GGW0023H5","份","份","","","","110303123502"
"00R0030GGW0023H6","塊","塊","","","","110303123502"
